id,name,brand,model,year,trim,full_option,specs,category,image_filename
car_024,تويوتا لاندكروزر 2026,تويوتا,لاندكروزر,2026,GR Sport,فل كامل,سعودي · 3.5 لتر V6 تيربو · 409 حصان · دفع رباعي · 5 ركاب · جيب كبير,premium,toyota_land_cruiser_300_2026_gr_sport.jpg
car_025,مرسيدس GLE 450 2026,مرسيدس,GLE 450,2026,AMG Line,فل كامل,سعودي · 3.0 لتر 6 سلندر تيربو · 381 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,mercedes_benz_gle_450_2026_amg_line.jpg
car_026,بورش كايين 2026,بورش,كايين,2026,Cayenne,فل كامل,سعودي · 3.0 لتر V6 تيربو · 353 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,porsche_cayenne_2026_cayenne.jpg
car_027,بي إم دبليو X5 40i 2026,بي إم دبليو,X5 40i,2026,M Sport,فل كامل,سعودي · 3.0 لتر 6 سلندر تيربو · 381 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,bmw_x5_xdrive40i_2026_m_sport.jpg
car_028,أودي Q8 2026,أودي,Q8,2026,S Line,فل كامل,سعودي · 3.0 لتر V6 تيربو · 340 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,audi_q8_55_tfsi_2026_s_line.jpg
car_029,نيسان باترول نيسمو 2026,نيسان,باترول نيسمو,2026,Nismo,فل كامل,سعودي · 3.5 لتر V6 تيربو · 425 حصان · دفع رباعي · 7 ركاب · جيب كبير,premium,nissan_patrol_nismo_2026_nismo.jpg
car_030,لوسيد جرافيتي 2026,لوسيد,جرافيتي,2026,Grand Touring,فل كامل,سعودي · كهربائية مزدوجة · 828 حصان · دفع رباعي · 7 ركاب · جيب فخم كهربائي,premium,lucid_gravity_2026_grand_touring.jpg
car_031,لاند روفر ديفندر 110 2026,لاند روفر,ديفندر 110,2026,X-Dynamic,فل كامل,سعودي · 3.0 لتر 6 سلندر تيربو · 400 حصان · دفع رباعي · 7 ركاب · جيب فخم,premium,land_rover_defender_110_2026_x_dynamic.jpg
car_032,فورد F-150 رابتر 2026,فورد,F-150 رابتر,2026,Raptor,فل كامل,أمريكي · 3.5 لتر V6 تيربو · 450 حصان · دفع رباعي · 5 ركاب · بيك أب,premium,ford_f_150_raptor_2026_raptor.jpg
car_033,إنفينيتي QX80 2026,إنفينيتي,QX80,2026,Sensory,فل كامل,سعودي · 3.5 لتر V6 تيربو · 450 حصان · دفع رباعي · 8 ركاب · جيب فخم,premium,infiniti_qx80_2026_sensory.jpg
car_034,مازيراتي جريكالي 2026,مازيراتي,جريكالي,2026,Modena,فل كامل,سعودي · 2.0 لتر تيربو هجين · 330 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,maserati_grecale_2026_modena.jpg
car_035,لكزس GX 550 2026,لكزس,GX 550,2026,Overtrail,فل كامل,سعودي · 3.4 لتر V6 تيربو · 349 حصان · دفع رباعي · 7 ركاب · جيب كبير,premium,lexus_gx_550_2026_overtrail.jpg
car_036,جي إم سي يوكن 2026,جي إم سي,يوكن,2026,Denali,فل كامل,أمريكي · 6.2 لتر V8 · 420 حصان · دفع رباعي · 7 ركاب · جيب كبير,premium,gmc_yukon_2026_denali.jpg
car_037,بي إم دبليو 530i 2026,بي إم دبليو,530i,2026,M Sport,فل كامل,سعودي · 2.0 لتر تيربو · 258 حصان · دفع خلفي · 5 ركاب · سيدان فخم,premium,bmw_530i_2026_m_sport.jpg
car_038,تويوتا سيكويا 2026,تويوتا,سيكويا,2026,Capstone,فل كامل,أمريكي · 3.4 لتر V6 هايبرد · 437 حصان · دفع رباعي · 7 ركاب · جيب كبير,premium,toyota_sequoia_2026_capstone.jpg
car_039,جينيسيس GV80 2026,جينيسيس,GV80,2026,Prestige,فل كامل,سعودي · 3.5 لتر V6 تيربو · 380 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,genesis_gv80_2026_prestige.jpg
car_040,تويوتا لاندكروزر 2026,تويوتا,لاندكروزر,2026,GXR,فل كامل,سعودي · 3.5 لتر V6 تيربو · 409 حصان · دفع رباعي · 7 ركاب · جيب كبير,premium,toyota_land_cruiser_300_2026_gxr.jpg
car_041,نيسان باترول 2026,نيسان,باترول,2026,LE Platinum,فل كامل,سعودي · 3.5 لتر V6 تيربو · 425 حصان · دفع رباعي · 8 ركاب · جيب كبير,premium,nissan_patrol_2026_le_platinum.jpg
car_042,شيفروليه تاهو 2026,شيفروليه,تاهو,2026,High Country,فل كامل,أمريكي · 6.2 لتر V8 · 420 حصان · دفع رباعي · 7 ركاب · جيب كبير,premium,chevrolet_tahoe_2026_high_country.jpg
car_043,مرسيدس E 300 2026,مرسيدس,E 300,2026,AMG Line,فل كامل,سعودي · 2.0 لتر تيربو · 258 حصان · دفع خلفي · 5 ركاب · سيدان فخم,premium,mercedes_benz_e_300_2026_amg_line.jpg
car_044,بورش ماكان 2026,بورش,ماكان,2026,Macan,فل كامل,سعودي · 2.0 لتر تيربو · 265 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,porsche_macan_2026_macan.jpg
car_045,شيفروليه سوبربان 2026,شيفروليه,سوبربان,2026,Premier,فل كامل,أمريكي · 5.3 لتر V8 · 355 حصان · دفع رباعي · 8 ركاب · جيب كبير,premium,chevrolet_suburban_2026_premier.jpg
