id,name,brand,model,year,trim,full_option,specs,category,image_filename
car_155,هيونداي بورتر 2026,هيونداي,بورتر,2026,Standard,ستاندر,سعودي · 2.5 لتر ديزل · 130 حصان · دفع خلفي · 3 ركاب · دينا صغيرة,wildcard,hyundai_porter_h100_2026_standard.jpg
car_156,هوندا CBR 650R 2026,هوندا,CBR 650R,2026,CBR,نص فل,ياباني · 649 سي سي 4 سلندر · 94 حصان · دفع خلفي · 2 ركاب · دراجة نارية,wildcard,honda_cbr_650r_2026_cbr.jpg
car_157,ياماها رابتر 700 2026,ياماها,رابتر 700,2026,700R,ستاندر,ياباني · 686 سي سي · 47 حصان · دفع خلفي · 1 ركاب · دباب رملي,wildcard,yamaha_raptor_700r_2026_700r.jpg
car_158,ياماها MT-07 2026,ياماها,MT-07,2026,MT-07,ستاندر,ياباني · 689 سي سي توين · 73 حصان · دفع خلفي · 2 ركاب · دراجة نارية,wildcard,yamaha_mt_07_2026_mt_07.jpg
car_159,كلب كار عربة قولف 2026,كلب كار,عربة قولف,2026,4 مقاعد,ستاندر,أمريكي · كهربائية 48 فولت · 14 حصان · دفع خلفي · 4 ركاب · عربة قولف,wildcard,club_car_onward_2026_4.jpg
car_160,فورد كراون فكتوريا 2010,فورد,كراون فكتوريا,2010,LX,ستاندر,أمريكي · 4.6 لتر V8 · 239 حصان · دفع خلفي · 6 ركاب · كلاسيك,wildcard,ford_crown_victoria_2010_lx.jpg
car_161,مرسيدس بيبي بنز 190 1991,مرسيدس,بيبي بنز 190,1991,190E,ستاندر,أوروبي · 2.0 لتر 4 سلندر · 118 حصان · دفع خلفي · 5 ركاب · كلاسيك,wildcard,mercedes_benz_190e_1991_190e.jpg
car_162,شيفروليه كابرس 1996,شيفروليه,كابرس,1996,Classic,ستاندر,أمريكي · 4.3 لتر V8 · 200 حصان · دفع خلفي · 6 ركاب · كلاسيك,wildcard,chevrolet_caprice_1996_classic.jpg
car_163,فيسبا بريمافيرا 2026,فيسبا,بريمافيرا,2026,150,ستاندر,أوروبي · 155 سي سي · 13 حصان · دفع خلفي · 2 ركاب · سكوتر,wildcard,vespa_primavera_150_2026_150.jpg
car_164,تويوتا كرسيدا 1992,تويوتا,كرسيدا,1992,GLi,ستاندر,سعودي · 2.4 لتر 6 سلندر · 140 حصان · دفع خلفي · 5 ركاب · كلاسيك,wildcard,toyota_cressida_1992_gli.jpg
car_165,هيونداي سوناتا قديمة 2011,هيونداي,سوناتا قديمة,2011,GL,ستاندر,سعودي · 2.4 لتر 4 سلندر · 198 حصان · دفع أمامي · 5 ركاب · سيدان مستعملة,wildcard,hyundai_sonata_2011_gl.jpg
car_166,نيسان صني قديم 2007,نيسان,صني قديم,2007,GL,ستاندر,سعودي · 1.6 لتر 4 سلندر · 107 حصان · دفع أمامي · 5 ركاب · سيدان مستعملة,wildcard,nissan_sunny_2007_gl.jpg
car_167,دايو لانوس 2001,دايو,لانوس,2001,SE,ستاندر,كوري · 1.5 لتر 4 سلندر · 86 حصان · دفع أمامي · 5 ركاب · سيدان مستعملة,wildcard,daewoo_lanos_2001_se.jpg
